sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked,recovery_checked
government,O'Connor Cooperative School,O'Connor,2602,,info_coop@ed.act.edu.au,http://www.coop.act.edu.au/sitesearch,http://www.coop.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.261153,149.120241,true,false
government,Erindale College,Wanniassa,2903,,info@erindalec.act.edu.au,http://www.erindalec.act.edu.au/sitesearch,http://www.erindalec.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.403049,149.096551,true,false
government,Hawker College,Hawker,2614,,info@hawkerc.act.edu.au,http://www.hawkerc.act.edu.au/sitesearch,http://www.hawkerc.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.245578,149.032519,true,false
government,Narrabundah College,Narrabundah,2604,,info@narrabundahc.act.edu.au,http://www.narrabundahc.act.edu.au/sitesearch,http://www.narrabundahc.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.335969,149.147097,true,false
government,Southern Cross Early Childhood School,Scullin,2614,,info@scecs.act.edu.au,http://www.scecs.act.edu.au/sitesearch,http://www.scecs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2328,149.0384,true,false
government,Lyons Early Childhood School,Lyons,2606,,info@lecs.act.edu.au,http://www.lecs.act.edu.au/sitesearch,http://www.lecs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.341633,149.076243,true,false
government,Narrabundah Early Childhood School,Narrabundah,2604,,info@necs.act.edu.au,http://www.necs.act.edu.au/sitesearch,http://www.necs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.329016,149.150698,true,false
government,Caroline Chisholm School,Chisholm,2905,,info@chisholm.act.edu.au,http://www.chisholm.act.edu.au/sitesearch,http://www.chisholm.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.4182,149.122,true,false
government,Isabella Plains Early Childhood School,Isabella Plains,2905,,info@ipecs.act.edu.au,http://www.ipecs.act.edu.au/sitesearch,http://www.ipecs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.428716,149.089497,true,false
government,The Canberra College,Phillip,2606,,canberrac.absences@ed.act.edu.au,http://www.canberrac.act.edu.au/sitesearch,http://www.canberrac.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.3404,149.0883,true,false
independent,Daramalan College,Dickson,2602,,info@daramalan.act.edu.au,http://www.daramalan.act.edu.au/,http://www.daramalan.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2535,149.1387,true,false
independent,Marist College Canberra,Pearce,2607,,enquiries@mcc.act.edu.au,https://www.maristc.act.edu.au/contact,http://www.maristc.act.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.3603,149.088,true,false
independent,St Edmund's College Canberra,Griffith,2603,,reception@sec.act.edu.au,https://sec.act.edu.au/contacts/,https://sec.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.323315,149.144412,true,false
catholic,Mother Teresa School,Harrison,2914,,office.mts@cg.catholic.edu.au,http://www.motherteresa.act.edu.au/site-search,http://www.motherteresa.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.19495163,149.15320486,true,false
government,Amaroo School,Amaroo,2914,,info@amaroos.act.edu.au,http://www.amaroos.act.edu.au/sitesearch,http://www.amaroos.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.164592,149.12774,true,false
government,Aranda Primary School,Aranda,2614,,info@arandaps.act.edu.au,http://www.arandaps.act.edu.au/sitesearch,http://www.arandaps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.255999,149.079914,true,false
government,Belconnen High School,Hawker,2614,,absences_blch@ed.act.edu.au,http://www.blch.act.edu.au/sitesearch,http://www.blch.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.246957,149.039298,true,false
government,Canberra High School,Macquarie,2614,,info@canberrahs.act.edu.au,http://www.canberrahs.act.edu.au/sitesearch,http://www.canberrahs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2513,149.0745,true,false
government,Charnwood-Dunlop School,Charnwood,2615,,info@charnwoodps.act.edu.au,http://www.charnwoodps.act.edu.au/sitesearch,http://www.charnwoodps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.1987,149.0362,true,false
government,Evatt Primary School,Evatt,2617,,info@evattps.act.edu.au,,http://www.evattps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2071,149.0759,true,true
government,Florey Primary School,Florey,2615,,admin@floreyps.act.edu.au,https://www.floreyps.act.edu.au/sitesearch,http://www.floreyps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2265,149.0521,true,false
government,Fraser Primary School,Fraser,2615,,info@fraserps.act.edu.au,http://www.fraserps.act.edu.au/sitesearch,http://www.fraserps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.1918,149.0434,true,false
government,Giralang Primary School,Giralang,2617,,info@giralangps.act.edu.au,http://www.giralangps.act.edu.au/sitesearch,http://www.giralangps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2137,149.0944,true,false
government,Gold Creek School,Nicholls,2913,,info@goldcreek.act.edu.au,http://www.goldcreek.act.edu.au/sitesearch,http://www.goldcreek.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.181275,149.100262,true,false
government,Harrison School,Harrison,2914,,info.harrison@ed.act.edu.au,http://www.harrison.act.edu.au/sitesearch,http://www.harrison.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.197531,149.151642,true,false
government,Hawker Primary School,Hawker,2614,,info@hawkerps.act.edu.au,http://www.hawkerps.act.edu.au/sitesearch,http://www.hawkerps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.25007119,149.03454992,true,false
government,Jervis Bay School,Jervis Bay,2540,,info@jbs.act.edu.au,http://www.jbs.act.edu.au/sitesearch,http://www.jbs.act.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.1315414,150.7055651,true,false
government,University of Canberra High School Kaleen,Kaleen,2617,,uchskaleen.information@ed.act.edu.au,http://www.kaleenhs.act.edu.au/sitesearch,http://www.kaleenhs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.225083,149.1012,true,false
government,Kaleen Primary School,Kaleen,2617,,admin@kaleenps.act.edu.au,http://www.kaleenps.act.edu.au/sitesearch,http://www.kaleenps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.224835,149.11404,true,false
government,University of Canberra Senior Secondary College Lake Ginninderra,Belconnen,2616,,lgnc.info@ed.act.edu.au,https://www.lakeonline.act.edu.au/sitesearch,http://www.lakeonline.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.239149,149.074161,true,false
government,Latham Primary School,Latham,2615,,info@lathamps.act.edu.au,http://www.lathamps.act.edu.au/sitesearch,http://www.lathamps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.220157,149.034298,true,false
government,Macgregor Primary School,Macgregor,2615,,macgregorps.info@ed.act.edu.au,http://www.macgregorps.act.edu.au/sitesearch,http://www.macgregorps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.213112,149.012349,true,false
government,Macquarie Primary School,Macquarie,2614,,admin@macquarieps.act.edu.au,http://www.macquarieps.act.edu.au/sitesearch,http://www.macquarieps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.250069,149.059393,true,false
government,Maribyrnong Primary School,Kaleen,2617,,maribyrnongps@ed.act.edu.au,,http://www.maribyrnongps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.235115,149.102261,true,true
government,Melba Copland Secondary School,Melba,2615,,,,,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,false,false
government,Miles Franklin Primary School,Evatt,2617,,info@mfps.act.edu.au,http://www.mfps.act.edu.au/sitesearch,http://www.mfps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.213295,149.066961,true,false
government,Mount Rogers Primary School,Melba,2615,,info@mtrogers.act.edu.au,http://www.mtrogers.act.edu.au/sitesearch,http://www.mtrogers.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.208737,149.055621,true,false
government,Ngunnawal Primary School,Ngunnawal,2913,,info@ngunnawalps.act.edu.au,http://www.ngunnawalps.act.edu.au/sitesearch,http://www.ngunnawalps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.169196,149.111784,true,false
government,Palmerston District Primary School,Palmerston,2913,,info@palmdps.act.edu.au,http://www.palmdps.act.edu.au/sitesearch,http://www.palmdps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.1975,149.120303,true,false
government,Weetangera Primary School,Weetangera,2614,,info@weetangeraps.act.edu.au,http://www.weetangeraps.act.edu.au/sitesearch,http://www.weetangeraps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2518,149.0471,true,false
government,Cranleigh School,Holt,2615,,info@cranleighps.act.edu.au,http://www.cranleighps.act.edu.au/sitesearch,http://www.cranleighps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2249,149.0291,true,false
government,Kingsford Smith School,Holt,2615,,info@kss.act.edu.au,http://www.kss.act.edu.au/sitesearch,http://www.kss.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2277,149.0195,true,false
government,Ainslie School,Braddon,2612,,info@ainslies.act.edu.au,http://www.ainslies.act.edu.au/sitesearch,http://www.ainslies.act.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.273729,149.139632,true,false
government,Alfred Deakin High School,Deakin,2600,,info@adhs.act.edu.au,http://www.adhs.act.edu.au/sitesearch,http://www.adhs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.32433444,149.09509971,true,false
government,Campbell High School,Campbell,2612,,info@campbellhs.act.edu.au,http://www.campbellhs.act.edu.au/sitesearch,http://www.campbellhs.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.278101,149.147123,true,false
government,Campbell Primary School,Campbell,2612,,campbellps@ed.act.edu.au,http://www.campbellps.act.edu.au/sitesearch,http://www.campbellps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2903,149.1561,true,false
government,Curtin Primary School,Curtin,2605,,curtinps@ed.act.edu.au,http://www.curtinps.act.edu.au/sitesearch,http://www.curtinps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.3317,149.0799,true,false
government,Dickson College,Dickson,2602,,info@dicksonc.act.edu.au,http://www.dicksonc.act.edu.au/sitesearch,http://www.dicksonc.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.2485,149.1541,true,false
government,Farrer Primary School,Farrer,2607,,info_farrerps@ed.act.edu.au,http://www.farrerps.act.edu.au/sitesearch,http://www.farrerps.act.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.3787,149.1071,true,false
government,Forrest Primary School,Forrest,2603,,forrestps@ed.act.edu.au,http://www.forrestps.act.edu.au/sitesearch,http://www.forrestps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.3151,149.1262,true,false
government,Garran Primary School,Garran,2605,,info@garranps.act.edu.au,http://www.garranps.act.edu.au/sitesearch,http://www.garranps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.3447,149.1033,true,false
government,Hughes Primary School,Hughes,2605,,info_hughesps@ed.act.edu.au,,http://www.hughesps.act.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.332248,149.093456,true,true
